id,State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,Migrated_Other,State_code
1,Total,34285612,33661339,,152606,13-08-2021 23:27,13197,TT
2,Andaman and Nicobar Islands,7651,7518,129,4,13-08-2021 23:27,0,AN
3,Andhra Pradesh,2066450,2047722,14373,4355,13-08-2021 23:27,0,AP
4,Arunachal Pradesh,55155,54774,280,101,13-08-2021 23:27,0,AR
5,Assam,610645,600974,5997,2327,13-08-2021 23:27,1347,AS
6,Bihar,726098,716390,9661,46,13-08-2021 23:27,1,BR
7,Chandigarh,65351,64495,820,36,13-08-2021 23:27,0,CH
8,Chhattisgarh,1006052,992159,13577,316,13-08-2021 23:27,0,CT
9,Dadra and Nagar Haveli and Daman and Diu,10681,10644,4,2,13-08-2021 23:27,31,DN
10,Delhi,1439870,1414431,25091,348,13-08-2021 23:27,0,DL
11,Goa,178108,174392,3364,352,13-08-2021 23:27,0,GA
12,Gujarat,826577,816283,10089,205,13-08-2021 23:27,0,GJ
13,Haryana,771252,761068,10049,135,13-08-2021 23:27,0,HR
14,Himachal Pradesh,224106,218410,3738,1942,13-08-2021 23:27,16,HP
15,Jammu and Kashmir,332249,326915,4432,902,13-08-2021 23:27,0,JK
16,Jharkhand,348764,343518,5138,108,13-08-2021 23:27,0,JH
17,Karnataka,2988333,2941578,38082,8644,13-08-2021 23:27,29,KA
18,Kerala,4968657,4857181,31681,79266,13-08-2021 23:27,529,KL
19,Ladakh,20962,20687,208,67,13-08-2021 23:27,0,LA
20,Lakshadweep,10365,10270,51,0,13-08-2021 23:27,44,LD
21,Madhya Pradesh,792854,782215,10524,115,13-08-2021 23:27,0,MP
22,Maharashtra,6611078,6450585,140216,16658,13-08-2021 23:27,3619,MH
23,Manipur,123731,121102,1921,708,13-08-2021 23:27,0,MN
24,Meghalaya,83627,81746,1450,431,13-08-2021 23:27,0,ML
25,Mizoram,121359,114612,432,6315,13-08-2021 23:27,0,MZ
26,Nagaland,31842,29904,685,210,13-08-2021 23:27,1043,NL
27,Odisha,1041457,1029147,8386,3924,13-08-2021 23:27,0,OR
28,Puducherry,128013,125726,1857,430,13-08-2021 23:27,0,PY
29,Punjab,602401,585591,16559,251,13-08-2021 23:27,0,PB
30,Rajasthan,954429,945443,8954,32,13-08-2021 23:27,0,RJ
31,Sikkim,31979,31063,396,195,13-08-2021 23:27,325,SK
32,State Unassigned,0,0,0,0,13-08-2021 23:27,0,UN
33,Tamil Nadu,2702623,2655015,36116,11492,13-08-2021 23:27,0,TN
34,Telangana,671463,663498,3956,4009,13-08-2021 23:27,0,TG
35,Tripura,84468,83466,813,126,13-08-2021 23:27,63,TR
36,Uttar Pradesh,1710158,1687151,22900,107,13-08-2021 23:27,0,UP
37,Uttarakhand,343896,330195,7400,151,13-08-2021 23:27,6150,UT
38,West Bengal,1592908,1565471,19141,8296,13-08-2021 23:27,0,WB
